"","V162345","V162346","V162349","V162350","V162211","V162213","V162214","V162212","prejudice","deserve","tryhard","descrimination","lazy","peaceful"
"49",4,4,5,5,"5. Disagree strongly","3. Neither agree nor disagree","5. Disagree strongly","1. Agree strongly",5,3,5,1,0,0
"50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",3,4,2,4,"2. Agree somewhat","5. Disagree strongly","2. Agree somewhat","5. Disagree strongly",2,5,2,5,1,2
"53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",3,5,2,4,"2. Agree somewhat","5. Disagree strongly","2. Agree somewhat","2. Agree somewhat",2,5,2,2,2,2
"55",3,3,4,4,"4. Disagree somewhat","2. Agree somewhat","5. Disagree strongly","2. Agree somewhat",4,2,5,2,0,0
"56",4,4,4,4,"3. Neither agree nor disagree","2. Agree somewhat","4. Disagree somewhat","2. Agree somewhat",3,2,4,2,0,0
"57",7,7,7,7,"5. Disagree strongly","5. Disagree strongly","5. Disagree strongly","5. Disagree strongly",5,5,5,5,0,0
"58",3,5,3,5,"1. Agree strongly","4. Disagree somewhat","1. Agree strongly","1. Agree strongly",1,4,1,1,2,2
"59",4,4,4,4,"5. Disagree strongly","3. Neither agree nor disagree","5. Disagree strongly","2. Agree somewhat",5,3,5,2,0,0
"60",2,5,3,6,"2. Agree somewhat","4. Disagree somewhat","3. Neither agree nor disagree","2. Agree somewhat",2,4,3,2,3,3
"61",NA,NA,NA,NA,NA,"1. Agree strongly","2. Agree somewhat","1. Agree strongly",NA,1,2,1,NA,NA
"62",1,4,1,4,"2. Agree somewhat","2. Agree somewhat","2. Agree somewhat","2. Agree somewhat",2,2,2,2,3,3
"63",4,4,4,4,"3. Neither agree nor disagree","4. Disagree somewhat","3. Neither agree nor disagree","4. Disagree somewhat",3,4,3,4,0,0
