id,mp12a,mp12b,mp12c,mp12d,mp12e,mp12f
987,1,1,1,1,1,1
988,1,3,3,3,1,3
989,1,1,2,1,1,1
990,1,1,3,1,1,1
991,1,1,3,1,1,1
992,1,1,1,1,1,1
993,1,1,3,1,1,1
994,1,1,3,3,1,1
995,1,1,3,1,1,1
996,1,1,3,2,1,1
997,1,1,3,1,1,1
998,1,3,1,3,3,3
999,1,1,3,1,1,2
1000,1,1,3,1,3,1
1001,1,3,3,3,1,3
1002,1,1,1,3,1,3
1003,1,3,3,3,3,3
1004,2,3,3,2,3,2
1005,1,1,3,3,3,3
1006,1,1,3,3,3,1
1007,1,1,3,3,3,1
1008,3,3,1,3,3,3
1009,1,3,3,3,3,1
1010,1,1,1,1,3,3
1011,2,3,3,1,1,3
1012,1,1,3,2,2,2
1013,1,1,3,1,1,1
1014,1,1,3,1,1,1
1015,1,3,3,1,1,1
1016,3,3,1,3,1,3
1017,3,3,3,1,3,1
1018,1,1,3,1,1,1
1019,3,3,1,1,3,3
1020,1,2,1,3,1,3
1021,2,1,3,2,2,1
1022,1,1,1,1,1,1
1023,1,3,1,3,3,3
1024,1,1,3,2,3,1
1025,1,1,3,3,1,2
1026,1,1,3,2,1,1
1027,3,3,1,3,3,3
1028,2,1,2,3,3,3
1029,1,1,3,3,1,2
1030,1,3,3,3,3,3
1031,2,2,3,3,2,3
1032,1,1,3,1,1,3
1033,1,3,3,3,3,3
1034,1,3,3,3,3,3
1035,1,1,3,2,2,2
1036,1,3,1,1,2,3
1037,3,3,3,3,3,3
1038,1,1,3,1,1,1
1039,1,1,3,3,1,1
1040,3,3,3,3,3,3
1041,2,2,2,3,3,3
1042,1,1,3,1,1,1
1043,1,1,3,3,3,1
1044,1,1,3,3,1,3
1045,3,3,1,3,2,3
1046,1,1,3,1,3,3
1047,1,3,1,3,3,1
1048,1,1,3,3,1,3
1049,1,3,1,3,3,3
1050,1,1,3,2,1,1
1051,3,3,3,3,1,3
1052,1,1,3,3,3,3
1053,1,1,3,2,1,1
1054,3,3,3,3,3,3
1055,1,1,3,1,1,1
1056,1,1,3,1,1,3
1057,1,1,1,2,2,2
1058,1,3,1,3,3,3
1059,1,1,3,3,3,3
1060,1,1,1,3,1,3
1061,1,1,3,3,3,1
1062,1,3,3,1,1,1
1063,1,1,3,3,1,1
1064,1,1,3,1,1,1
1065,1,3,3,3,3,3
1066,3,3,1,3,3,3
1067,2,1,1,1,3,2
1068,1,3,3,1,1,1
1069,1,1,3,1,3,3
1070,3,3,3,3,3,3
1071,1,3,3,1,1,2
1072,1,1,3,1,3,1
1073,1,1,3,1,1,1
1074,1,1,3,3,1,2
1075,1,3,3,3,3,1
1076,3,3,1,2,3,3
1077,2,3,1,2,3,3
1078,1,1,3,3,1,1
1079,3,3,2,2,3,3
1080,1,1,3,1,1,1
1081,1,1,3,1,2,1
1082,3,3,3,3,3,3
1083,1,1,2,2,2,2
1084,1,2,2,2,3,3
1085,1,2,3,1,1,1
1086,1,1,3,1,1,1
1087,1,1,3,2,1,3
1088,1,2,3,2,2,2
1089,1,1,3,1,1,1
1090,3,3,1,3,3,3
1091,1,1,1,3,3,3
1092,3,3,3,1,1,1
1093,3,3,2,3,3,3
1094,1,3,3,3,2,3
1095,3,3,1,3,3,3
1096,1,1,3,2,1,1
1097,1,3,3,3,3,3
1098,1,1,3,1,2,1
1099,2,3,3,3,2,3
1100,1,1,3,3,1,2
1101,1,1,3,1,1,1
1102,1,1,3,1,1,1
1103,1,1,3,3,3,3
1104,1,1,1,1,1,1
1105,1,1,3,3,1,3
1106,1,1,3,1,1,1
1107,1,1,3,1,1,1
1108,1,1,3,2,2,1
1109,3,3,3,3,1,2
1110,1,3,3,1,1,1
1111,1,1,3,1,1,1
1112,1,1,3,3,1,1
1113,1,1,3,1,1,1
1114,1,1,3,3,1,3
1115,1,1,3,1,1,1
1116,1,1,3,1,3,3
1117,3,3,1,3,3,3
1118,1,1,3,3,1,1
1119,3,2,2,3,1,1
1120,1,1,3,1,1,1
1121,1,1,3,1,1,2
1122,1,1,3,2,1,1
1123,1,1,3,3,1,1
1124,1,1,3,3,3,3
1125,1,1,3,3,1,1
1126,1,1,1,1,2,1
1127,1,2,2,2,3,3
1128,1,1,3,1,1,1
1129,1,1,3,2,1,1
1130,1,1,3,2,1,1
1131,1,1,3,1,1,1
1132,1,1,3,1,1,1
1133,1,1,3,1,1,1
1134,1,1,3,3,1,1
1135,2,2,3,2,1,1
1136,1,1,3,1,1,1
1137,1,2,3,3,2,2
1138,1,1,3,3,2,2
1139,1,1,3,3,1,1
1140,3,1,1,3,1,3
1141,1,1,3,3,1,3
1142,1,1,3,1,1,1
1143,1,1,3,3,1,1
1144,1,1,3,3,1,1
1145,1,3,3,3,1,3
1146,1,1,3,1,1,1
1147,1,1,3,1,3,1
1148,1,1,3,1,2,1
1149,2,2,3,3,2,1
1150,1,1,3,3,1,3
1151,1,1,3,1,1,1
1152,1,1,3,1,1,1
1153,1,1,3,1,1,1
1154,1,1,3,1,1,1
1155,1,1,3,1,1,1
1156,3,1,3,3,1,3
1157,1,1,3,3,1,1
1158,1,1,1,1,1,2
1159,1,1,3,3,1,3
1160,1,1,3,1,1,1
1161,1,1,3,1,1,1
1162,1,1,3,1,1,2
1163,1,1,3,3,1,2
1164,1,1,3,1,1,1
1165,1,1,3,1,1,1
1166,1,1,3,1,1,1
1167,1,1,3,1,1,1
1168,1,1,3,3,1,3
1169,1,1,3,1,1,1
1170,1,1,3,1,1,1
1171,1,1,3,1,1,1
1172,1,1,3,1,1,1
1173,1,1,3,3,1,1
1174,1,1,2,2,1,1
1175,1,1,3,1,1,1
1176,1,1,3,1,1,1
1177,1,1,3,3,1,1
1178,1,3,3,1,3,1
1179,1,1,3,1,1,1
1180,1,1,3,3,1,1
1181,1,3,3,1,2,2
1182,1,1,3,1,1,1
1183,1,1,3,1,1,1
1184,1,1,3,2,1,1
1185,1,3,2,1,1,1
1186,1,1,3,3,1,3
1187,3,3,3,3,2,3
1188,1,1,3,1,1,1
1189,1,1,3,1,1,1
1190,1,1,3,1,1,1
1191,1,1,3,3,1,1
1192,1,1,1,1,1,3
1193,1,1,3,3,1,1
1194,1,1,3,1,1,1
1195,1,1,3,1,1,1
1196,1,1,3,1,1,1
1197,1,1,3,1,1,1
1198,1,1,3,1,1,1
1199,1,1,3,1,1,1
1200,1,1,3,1,1,1
1201,1,1,3,1,1,1
1202,1,1,3,3,1,3
1203,1,1,3,1,1,1
1204,1,1,3,1,1,1
1205,1,1,3,1,1,1
1206,1,1,3,1,1,1
1207,1,1,3,3,1,2
1208,1,1,3,1,1,1
1209,1,1,3,2,1,1
1210,1,1,3,1,1,1
1211,1,1,3,3,1,3
1212,1,1,3,1,1,2
1213,1,2,3,3,1,1
1214,1,2,2,3,1,2
1215,1,1,3,1,1,1
1216,1,1,3,3,1,1
1217,2,2,2,2,2,2
1218,1,1,3,3,1,1
1219,1,1,3,3,1,3
1220,1,1,1,1,1,1
1221,1,1,3,1,1,1
1222,1,1,3,1,1,1
1223,1,1,3,1,1,1
1224,1,1,3,3,1,1
1225,1,1,3,1,1,1
1226,1,3,3,3,1,2
1227,1,1,3,1,1,1
1228,1,1,1,1,1,3
1229,1,1,3,1,1,3
1230,1,3,3,1,1,1
1231,1,1,3,1,1,2
1232,1,1,3,1,1,1
1233,1,1,3,1,1,1
1234,1,1,3,1,1,1
1235,3,3,1,3,3,3
1236,1,1,3,1,1,1
1237,1,1,3,3,1,1
1238,1,1,3,1,1,1
1239,1,1,3,3,2,3
1240,1,1,3,1,1,1
1241,1,1,3,2,1,1
1242,1,1,1,3,1,3
1243,1,1,3,1,1,1
1244,1,1,3,2,1,1
1245,1,1,3,1,1,3
1246,1,1,3,1,1,1
1247,1,1,3,1,1,1
1248,1,1,3,1,1,1
1249,1,1,1,3,1,3
1250,1,1,3,1,1,1
1251,1,1,3,1,1,2
1252,1,1,3,3,1,1
1253,1,1,3,3,1,3
1254,1,1,3,3,1,1
1255,1,1,3,1,1,3
1256,1,1,3,3,2,2
1257,1,2,2,3,2,3
1258,1,1,1,3,2,3
1259,1,1,3,1,1,1
1260,1,1,3,2,1,1
1261,1,1,3,3,1,1
1262,1,1,3,3,1,3
1263,1,1,3,1,1,1
1264,1,1,3,3,1,1
1265,1,1,3,1,1,1
1266,1,1,3,1,1,1
1267,1,3,3,3,1,1
1268,1,1,3,1,1,1
1269,1,1,3,3,1,3
1270,1,1,3,1,1,1
1271,1,1,3,3,1,3
1272,3,3,3,3,2,3
1273,1,1,3,2,1,1
1274,1,1,3,1,1,1
1275,1,1,3,3,1,1
1276,1,2,3,3,1,2
1277,1,1,3,3,1,3
1278,1,1,3,2,1,1
1279,1,1,3,1,1,1
1280,1,1,3,1,1,1
1281,1,2,3,2,1,1
1282,1,1,3,1,1,1
1283,1,1,3,2,1,2
1284,1,1,3,3,1,3
1285,1,1,3,1,1,1
1286,1,1,3,3,1,3
1287,1,1,3,1,1,1
1288,1,1,3,3,1,1
1289,1,1,3,1,1,1
1290,1,1,3,1,1,1
1291,1,3,3,1,1,3
1292,1,1,3,1,1,1
1293,1,1,1,3,1,3
1294,1,1,3,1,1,1
1295,1,1,3,1,1,1
1296,1,1,3,1,1,1
1297,1,1,3,1,1,1
1298,1,1,3,1,1,1
1299,1,1,1,1,1,1
1300,1,1,3,3,1,1
1301,1,1,1,3,1,3
1302,1,1,3,3,1,2
1303,1,1,3,3,1,1
1304,1,1,3,1,1,1
1305,1,1,3,1,1,1
1306,1,1,3,1,1,1
1307,1,1,3,2,1,1
1308,1,1,3,3,1,1
1309,1,1,3,1,1,1
1310,2,2,2,2,2,2
1311,1,1,1,3,1,3
1312,1,1,3,1,1,1
1313,1,1,1,1,3,1
1314,1,1,3,1,1,1
1315,1,1,3,3,1,1
1316,1,1,3,3,1,1
1317,1,1,3,3,1,1
1318,1,1,3,3,1,3
1319,3,3,3,3,2,3
1320,1,1,3,3,1,1
1321,1,2,3,3,1,1
1322,1,1,3,3,1,3
1323,1,1,3,1,1,1
1324,1,1,3,1,1,1
1325,1,2,3,3,2,3
1326,1,1,3,1,1,1
1327,1,1,3,1,1,1
1328,1,1,3,3,1,3
1329,1,1,3,2,1,1
1330,1,3,3,3,1,3
1331,1,1,3,1,1,1
1332,2,2,2,2,2,2
1333,2,2,2,2,2,1
1334,1,1,3,3,1,3
1335,1,1,2,2,2,3
1336,1,1,3,1,1,1
1337,1,2,2,1,2,1
1338,1,3,3,3,3,2
1339,2,2,2,3,1,3
1340,1,3,1,3,1,1
1341,1,1,3,1,1,2
1342,3,3,1,3,3,3
1343,3,3,3,3,3,3
1344,1,1,3,1,1,3
1345,3,3,2,3,2,3
1346,1,2,1,3,3,3
1347,1,1,1,3,1,3
1348,1,1,3,1,1,1
1349,1,1,3,2,1,1
1350,1,1,3,1,1,1
1351,1,3,3,3,3,3
1352,1,3,1,3,3,3
1353,1,1,3,1,2,1
1354,3,3,3,2,3,3
1355,1,1,2,3,1,3
1356,3,3,1,3,3,3
1357,1,1,3,3,2,1
1358,1,1,3,1,1,1
1359,1,1,3,1,1,1
1360,3,3,2,3,3,3
1361,3,3,1,2,3,3
1362,1,1,3,1,1,1
1363,1,1,3,1,1,1
1364,3,3,3,3,3,3
1365,1,3,1,3,1,3
1366,1,1,3,3,1,1
1367,1,3,1,3,1,3
1368,2,3,3,3,3,3
1369,1,3,3,3,3,3
1370,2,3,3,3,3,3
1371,1,3,3,3,1,3
1372,1,1,3,3,3,3
1373,1,1,3,2,1,1
1374,1,1,1,1,1,1
1375,1,1,3,1,3,3
1376,1,3,3,1,3,1
1377,3,3,1,3,3,3
1378,1,1,3,1,3,1
