id,mp12a,mp12b,mp12c,mp12d,mp12e,mp12f
227,3,3,3,3,2,3
228,3,3,1,3,3,3
229,3,3,3,3,1,3
230,3,2,3,3,3,3
231,3,3,1,3,3,3
232,1,1,3,3,3,3
233,1,3,3,1,1,3
234,1,1,3,3,2,3
235,1,1,1,2,2,3
236,3,3,1,3,3,3
237,3,3,1,3,3,3
238,3,3,3,3,2,3
239,1,1,1,3,2,3
240,1,3,1,3,1,3
241,3,3,3,3,3,3
242,3,3,3,3,3,3
243,3,3,1,2,3,3
244,1,3,3,3,1,1
245,1,1,1,1,1,3
246,3,3,3,3,3,3
247,3,3,3,3,3,3
248,3,3,1,3,3,3
249,2,3,3,3,3,3
250,1,3,1,3,1,3
251,1,3,1,3,3,3
252,3,3,3,3,3,3
253,1,1,3,1,1,3
254,3,3,3,3,3,3
255,1,1,3,3,3,2
256,3,3,1,3,3,3
257,1,1,3,1,1,1
258,3,3,3,3,3,3
259,3,3,3,3,3,3
260,1,1,3,3,1,3
261,3,3,1,3,2,3
262,1,1,3,1,3,3
263,1,3,3,1,1,1
264,3,3,1,3,3,3
265,1,1,3,1,1,1
266,3,3,1,3,3,3
267,3,3,1,3,2,3
268,3,3,1,3,3,3
269,1,1,3,1,2,1
270,3,3,2,3,3,3
271,2,3,1,3,2,3
272,1,3,1,3,3,3
273,1,3,3,1,3,3
274,1,1,1,3,3,3
275,3,3,3,3,3,3
276,3,3,3,3,2,3
277,1,3,3,3,1,2
278,1,1,3,3,1,3
279,1,1,3,3,1,3
280,2,3,3,3,3,3
281,3,3,3,3,3,3
282,1,1,1,3,1,2
283,3,3,3,3,3,3
284,1,3,3,3,1,3
285,1,3,3,3,2,3
286,1,1,3,3,3,3
287,1,1,3,3,1,1
288,3,3,3,3,3,3
289,3,3,3,2,1,1
290,1,3,3,3,3,3
291,3,3,1,3,3,3
292,3,3,1,3,3,3
293,1,3,3,3,3,3
294,1,1,3,3,1,3
295,3,3,1,3,3,3
296,3,3,3,3,3,3
297,3,3,3,3,2,3
298,1,1,3,3,2,3
299,3,3,3,3,3,3
300,3,3,3,3,3,3
301,1,3,1,3,3,3
302,1,3,1,3,3,3
303,3,3,3,3,3,3
304,3,3,3,3,3,3
305,1,3,1,3,3,3
306,1,1,3,1,1,1
307,1,1,1,3,1,3
308,1,3,3,3,2,3
309,3,3,1,3,3,3
310,1,1,3,3,1,3
311,3,3,3,3,3,3
312,3,3,2,3,1,3
313,3,3,3,3,3,3
314,3,3,1,3,3,3
315,1,1,3,3,1,3
316,3,3,1,3,3,3
317,3,3,3,3,3,3
318,3,3,1,3,3,3
319,3,3,2,3,3,3
320,3,3,1,3,1,3
321,3,3,2,3,3,3
322,3,3,3,3,3,3
323,3,3,3,3,3,3
324,2,3,1,1,3,3
325,3,3,3,3,3,3
326,1,1,3,1,1,3
327,3,2,2,3,2,3
328,1,1,3,1,1,1
329,1,2,3,1,2,1
330,3,3,3,3,3,3
331,1,1,3,3,1,3
332,1,3,1,3,3,3
333,1,3,3,3,3,1
334,3,3,1,3,2,3
335,1,3,1,3,3,3
336,1,1,3,3,1,3
337,3,3,3,3,2,1
338,1,1,1,3,1,2
339,3,3,3,3,3,3
340,3,3,3,3,1,1
341,3,3,3,3,3,3
342,3,3,3,3,3,3
343,3,3,2,3,3,3
344,3,3,3,3,3,3
345,3,3,2,3,2,3
346,3,3,3,3,3,1
347,1,1,3,3,3,1
348,3,3,1,3,3,3
349,3,3,3,3,3,3
350,3,3,2,3,3,3
351,3,3,1,3,3,3
352,3,3,1,3,3,3
353,1,1,1,3,2,3
354,1,3,1,3,2,2
355,1,3,1,3,3,3
356,3,3,1,1,3,3
357,3,3,1,3,3,3
358,3,3,1,3,3,3
359,3,3,3,3,3,3
360,3,3,3,3,3,3
361,1,1,1,1,3,3
362,1,2,1,3,3,3
363,3,3,3,3,3,3
364,1,1,3,3,1,1
365,3,3,1,3,3,3
366,2,2,2,2,2,2
367,3,3,3,3,3,3
368,3,3,1,3,3,3
369,1,1,1,2,3,2
370,3,3,1,3,3,3
371,3,3,3,3,3,3
372,3,3,3,1,3,3
373,3,3,3,3,3,3
374,1,1,1,1,1,3
375,2,1,1,2,2,3
376,3,3,3,3,3,3
377,1,1,3,1,1,1
378,2,3,1,3,2,3
379,3,3,2,3,3,3
380,1,3,3,3,3,1
381,1,1,3,1,1,1
382,1,1,3,2,2,2
383,1,1,3,3,3,3
384,1,1,3,1,2,1
385,1,1,3,1,1,1
386,3,3,3,3,1,3
387,1,3,3,3,2,3
388,1,1,3,3,2,1
389,1,3,1,3,2,3
390,3,3,3,3,3,3
391,2,3,3,3,1,3
392,2,3,3,3,2,3
393,1,1,3,3,1,2
394,2,2,3,3,2,3
395,1,1,1,1,1,1
396,1,3,1,1,1,1
397,1,1,3,1,1,1
398,3,3,1,3,3,3
399,1,3,1,3,1,3
400,2,3,2,3,2,3
401,1,1,3,1,1,1
402,3,3,3,3,3,3
403,3,3,1,3,3,3
404,3,3,1,3,3,3
405,1,3,3,3,2,1
406,2,2,3,2,2,2
407,2,1,1,2,3,1
408,3,3,3,3,3,3
409,1,1,1,3,2,3
410,3,3,3,3,3,3
411,1,1,3,1,1,3
412,3,3,2,3,3,3
413,1,3,3,1,3,3
414,1,3,3,2,3,3
415,1,1,1,3,3,3
416,1,2,3,3,1,2
417,1,2,2,3,1,3
418,1,1,1,3,3,3
419,1,1,3,1,1,1
420,1,3,3,3,3,3
421,1,1,3,1,1,3
422,3,3,3,3,3,3
423,1,3,1,3,3,3
424,3,3,1,3,3,3
425,3,3,3,3,2,3
426,1,1,3,3,1,3
427,3,3,3,3,3,3
428,1,1,1,1,3,3
429,2,2,2,2,2,2
430,1,1,3,1,1,2
431,1,1,1,3,3,3
432,1,3,3,3,3,3
433,1,3,3,1,1,1
434,2,3,3,3,3,2
435,1,1,3,1,1,1
436,1,1,3,3,2,1
437,1,1,3,1,1,1
438,1,1,3,1,1,3
439,1,1,3,3,3,3
440,1,3,1,3,1,3
441,1,1,3,3,3,3
442,3,3,1,3,3,3
443,1,3,2,3,2,3
444,1,3,1,3,1,3
445,1,1,3,3,2,1
446,1,1,3,1,1,1
447,1,1,3,1,1,1
448,1,3,1,3,1,3
449,1,1,3,1,1,1
450,1,2,3,2,2,3
451,3,3,3,3,1,3
452,1,1,3,1,1,1
453,2,2,1,1,3,3
454,1,1,3,3,1,3
455,3,3,3,3,3,3
456,3,3,3,1,3,3
457,1,1,3,2,1,2
458,1,1,3,1,1,3
459,1,3,3,3,3,2
460,1,3,3,3,1,3
461,1,1,3,1,1,3
462,1,1,3,3,1,1
463,1,1,3,3,1,2
464,3,3,3,3,3,3
465,1,1,3,1,1,1
466,1,1,1,1,1,3
467,1,1,3,3,2,1
468,2,3,2,3,3,3
469,3,3,1,3,3,3
470,2,3,1,3,3,3
471,1,3,3,3,2,3
472,1,1,3,1,1,1
473,1,1,3,1,1,1
474,1,1,1,1,1,1
475,3,3,3,3,1,3
